Year,ST,STATE,OCC_CODE,OCC_TITLE,,LOC_Q,A_MEAN,H_MEAN,TOT_EMP
2018,AL,Alabama,15-0000,Computer and Mathematical Occupations,,0.71,84290,40.53,41560
2018,AL,Alabama,15-1111,Computer and Information Research Scientists,,**,138510,66.59,**
2018,AL,Alabama,15-1121,Computer Systems Analysts,,0.49,84950,40.84,3910
2018,AL,Alabama,15-1122,Information Security Analysts,,0.79,92500,44.47,1150
2018,AL,Alabama,15-1131,Computer Programmers,,2.5,87340,41.99,7750
2018,AL,Alabama,15-1132,"Software Developers, Applications",,0.51,96400,46.35,6210
2018,AL,Alabama,15-1133,"Software Developers, Systems Software",,0.8,105890,50.91,4360
2018,AL,Alabama,15-1134,Web Developers,,0.37,67250,32.33,640
2018,AL,Alabama,15-1141,Database Administrators,,1.27,83580,40.19,1880
2018,AL,Alabama,15-1142,Network and Computer Systems Administrators,,0.78,76370,36.72,3850
2018,AL,Alabama,15-1143,Computer Network Architects,,0.47,104580,50.28,970
2018,AL,Alabama,15-1151,Computer User Support Specialists,,0.7,49120,23.61,5920
2018,AL,Alabama,15-1152,Computer Network Support Specialists,,0.49,59060,28.39,1180
2018,AL,Alabama,15-1199,"Computer Occupations, All Other",,0.37,87060,41.86,1920
2018,AK,Alaska,15-0000,Computer and Mathematical Occupations,,0.55,80280,38.6,5280
2018,AK,Alaska,15-1121,Computer Systems Analysts,,0.53,70390,33.84,670
2018,AK,Alaska,15-1122,Information Security Analysts,,0.3,105280,50.61,70
2018,AK,Alaska,15-1131,Computer Programmers,,1.23,86080,41.39,620
2018,AK,Alaska,15-1132,"Software Developers, Applications",,0.18,104970,50.47,360
2018,AK,Alaska,15-1133,"Software Developers, Systems Software",,0.19,110080,52.92,170
2018,AK,Alaska,15-1134,Web Developers,,0.53,59990,28.84,150
2018,AK,Alaska,15-1141,Database Administrators,,0.88,79600,38.27,210
2018,AK,Alaska,15-1142,Network and Computer Systems Administrators,,1.18,82980,39.89,940
2018,AK,Alaska,15-1143,Computer Network Architects,,0.18,94250,45.31,60
2018,AK,Alaska,15-1151,Computer User Support Specialists,,0.54,57270,27.54,750
2018,AK,Alaska,15-1152,Computer Network Support Specialists,,0.84,59990,28.84,330
2018,AK,Alaska,15-1199,"Computer Occupations, All Other",,0.75,98830,47.52,630
2018,AZ,Arizona,15-0000,Computer and Mathematical Occupations,,1.11,83140,39.97,94060
2018,AZ,Arizona,15-1111,Computer and Information Research Scientists,,0.51,111510,53.61,300
2018,AZ,Arizona,15-1121,Computer Systems Analysts,,1.02,88970,42.78,11570
2018,AZ,Arizona,15-1122,Information Security Analysts,,1.23,93960,45.17,2570
2018,AZ,Arizona,15-1131,Computer Programmers,,0.75,95900,46.1,3320
